	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
1943	was El Señor a ¿héroe?	El hizo no pensar entonces.	was The lord a hero?	He did not think so.	100.0	['entonces', 'no', 'hizo', 'el', 'pensar']	2

1944	cual languages were most readings translated from?	French, German and Portuguese	which languages were most readings translated from?	French, German and Portuguese	0.0	[]	0

1945	Why was ella se sorprendió?	El bunny arrinconado her.	Why was she startled?	The bunny cornered her.	50.0	['arrinconado', 'el']	1

1946	Que quería a ¿hacer?	a seguir a ellos,	What did he want to do?	to follow them,	100.0	['a', 'seguir', 'ellos']	2

1947	What is their slogan?	Islam es the solution	What is their slogan?	Islam is the solution	25.0	['es']	0

1948	What podría ayudar a él think?	the posición de su hands	What might help him think?	the position of his hands	60.0	['posición', 'su', 'de']	1

1949	¿En qué confía Scott? acerca de ¿a él?	Su indio instintos,	what does scott trust about him?	His Indian instincts,	100.0	['instintos', 'su', 'indio']	2

1950	what sorts of jobs did he ¿hacer?	he ran risky missions	what sorts of jobs did he do?	he ran risky missions	0.0	[]	0

1951	who ordenado all recién nacidos a ser killed	the egipcio faraón	who ordered all newborns to be killed	the Egyptian Pharaoh	66.67	['egipcio', 'faraón']	1

1952	Qué tamaño es ¿él?	17,840,000 kilómetros cuadrados	What size is it?	17,840,000 square kilometers	100.0	['cuadrados', '17840000', 'kilómetros']	2

1953	Where did the water for the estanque have to traverse?	el Laughing Brook	Where did the water for the pond have to traverse?	the Laughing Brook	33.33	['el']	0

1954	What was the plot Para matar al rey Jaime ¿I?	The Pólvora Plot was conspiracy to kill Rey James I también como the members of la casa of Lords and Commons en the re-opening of Parliament	What was the plot to kill King James I?	The Gunpowder Plot was conspiracy to kill King James I, as well as the members of the House of Lords and Commons at the re-opening of Parliament	37.04	['como', 'rey', 'i', 'la', 'james', 'casa', 'en', 'también', 'pólvora']	1

1955	Dónde Pusiste tu stuff?	En el armario	Where did you put your stuff?	In the closet	100.0	['en', 'el', 'armario']	2

1956	Why no she come home?	her ID was stolen	Why didn't she come home?	her ID was stolen	0.0	[]	0

1957	Qué biblioteca marca esto one's origin?	the biblioteca real	What library marks this one's origin?	the royal library	66.67	['biblioteca', 'real']	1

1958	how much es el PIB de ¿Lisboa?	96.3 mil millones Dólar estadounidense	how much is the GDP of Lisbon?	96.3 billion USD	100.0	['mil', '963', 'millones', 'estadounidense', 'dólar']	2

1959	What was wrong with it?	Rain comes through	What was wrong with it?	Rain comes through	0.0	[]	0

1960	Hizo he worry acerca de su friend?	tried no	Did he worry about his friend?	tried not to	66.67	['no']	1

1961	Por qué quería tú pensar that?	He estaba moviendo su cola as El fue	Why would you think that?	He was wagging his tail as he went	75.0	['su', 'cola', 'estaba', 'fue', 'moviendo', 'el']	2

1962	What es el Billboard Hot 100	él tracks the popular singles and albums in diferente genres	What is the Billboard Hot 100	it tracks the popular singles and albums in different genres	30.0	['popular', 'él', 'diferente']	0

1963	Where ¿Podrían ellos? go?	anywhere Le gustó.	Where could they go?	anywhere he liked.	66.67	['le', 'gustó']	1

1964	Qué era el causa de muerte?	un corazón ataque	What was the cause of death?	a heart attack	100.0	['ataque', 'un', 'corazón']	2

1965	Qué is the firsts title?	Face-book chief operating officer	What is the firsts title?	Face-book chief operating officer	0.0	[]	0

1966	Que is he cerca de in el rankings?	Louis Oosthuizen y retención Goosen	Who is he close to in the rankings?	Louis Oosthuizen and Retief Goosen	60.0	['y', 'retención', 'louis']	1

1967	Que was cenando?	Jaime and su esposa	Who was eating dinner?	James and his wife	75.0	['jaime', 'su', 'esposa']	2

1968	How did he get the teachers attention?	poner up his hands	How did he get the teachers attention?	put up his hands	25.0	['poner']	0

1969	Y what ¿demás?	y permission to rediscover el canal	And what else?	and permission to rediscover the channel	50.0	['y', 'el', 'canal']	1

1970	What ¿Se llama a este capítulo?	El Excelente Luchar	What is this chapter called?	The Great Fight	100.0	['luchar', 'el', 'excelente']	2

1971	Dónde did he go?	The pond of Paddy the Beaver	Where did he go?	The pond of Paddy the Beaver	0.0	[]	0

1972	¿Quién estaba establecido? at a banker to?	el inglés Government	who was it established at a banker to?	the English Government	66.67	['inglés', 'el']	1

1973	Por qué ¿No quería uno ¿Conseguido?	él quería ambos himself	Why didn't he want one gotten?	he wanted both himself	75.0	['él', 'ambos', 'quería']	2

1974	Where did my Mom and I go on Navidad Eve?	to a store	Where did my Mom and I go on Christmas Eve?	to a store	33.33	['a']	0

1975	What la tuvo Tía enviada her?	A cerrar of Linton's cabello	What had her aunt sent her?	A lock of Linton's hair	60.0	['cabello', 'a', 'cerrar']	1

1976	Cualquier otro razones?	I can't mirar TELEVISOR	Any other reasons?	I can't watch TV	75.0	['i', 'televisor', 'mirar']	2

1977	Who didn't creer in fairies?	El king's mother	Who didn't believe in fairies?	The king's mother	33.33	['el']	0

1978	What era el más temprano writing?	el Vatteluttu alphabet	What was the earliest writing?	the Vatteluttu alphabet	66.67	['vatteluttu', 'el']	1

1979	Qué hace él ¿significar?	brujería o incluso veneno	What does it mean?	sorcery or even poison	100.0	['incluso', 'veneno', 'brujería', 'o']	2

1980	Es Ed on any liza associated with breaking laws?	10 most-wanted fugitives.	Is Ed on any lists associated with breaking laws?	10 most-wanted fugitives.	0.0	[]	0

1981	nombrado after ¿Que?	Arthur David Olson.	named after who?	Arthur David Olson.	66.67	['david', 'arthur']	1

1982	¿Qué se cree que algunos sistemas de religión ser influenced por these?	Segundo Judaísmo del templo, gnosticismo, cristianismo, and Islam.	What are some religion sytems beleived to be influenced by these?	Second Temple Judaism, Gnosticism, Christianity, and Islam.	71.43	['cristianismo', 'segundo', 'del', 'judaísmo', 'templo', 'gnosticismo']	2

1983	Who took over soviet industria after Americano private enterprises?	The Soviet state	Who took over Soviet industriy after American private enterprises?	The Soviet state	0.0	[]	0

1984	why ¿Vincent piensa they are?	because people parece estar fascinado por las cosas que están strange and bizarre	why does Vincent think they are?	because people seem to be fascinated by things that are strange and bizarre	61.54	['estar', 'cosas', 'parece', 'fascinado', 'las', 'por', 'están', 'que']	1

1985	What ¿Lo hizo la madre de Joey cuando she escogido él arriba?	tomó él en casa y le preguntó qué estaba mal	What did Joey's mom do when she picked him up?	took him home and asked what was wrong	100.0	['tomó', 'en', 'mal', 'qué', 'estaba', 'preguntó', 'le', 'y', 'casa', 'él']	2

1986	What kind of malsano alimento was there?	burgers, pizzas and papas fritas	What kind of unhealthy food was there?	burgers, pizzas and chips	25.0	['fritas', 'papas']	0

1987	Que does she Digamos que tenemos a especialmente help?	el joven generation	who does she say we have to especially help?	the young generation	66.67	['joven', 'el']	1

1988	QUÉ DOS PALABRAS Se usan A Describe su relación ¿Con Vettel?	díscolo, no a decir venenoso	WHAT TWO WORDS ARE USED TO DESCRIBE HIS RELATIONSHIP WITH VETTEL?	fractious, not to say poisonous	100.0	['no', 'a', 'díscolo', 'venenoso', 'decir']	2

1989	Did she give any ¿Ejemplos?	China, Egypt, Greece and Italy	Did she give any examples?	China, Egypt, Greece and Italy	0.0	[]	0

1990	Cómo much dinero lo tiene raised?	más que $150 million.	How much money has it raised?	more than $150 million.	50.0	['más', 'que']	1

1991	from contacto con quien	El otomano Turco.	from contact with who	The Ottoman Turkish.	100.0	['turco', 'otomano', 'el']	2

1992	Que rango highly in quality of life?	Australia and New Zealand	who ranks highly in quality of life?	Australia and New Zealand	0.0	[]	0

1993	por favor nombre the bordering states.	Brandenburg, Sajonia Anhalt, Turingia, and Bavaria,	please name the bordering states.	Brandenburg, Saxony Anhalt, Thuringia, and Bavaria,	66.67	['turingia', 'anhalt', 'brandenburg', 'sajonia']	1

1994	Que hizo Kraft ¿decir?	Kraft testificó que he preguntó to Habla con Hernández en una oficina cerca de una sala de pesas in the stadium,	What did Kraft say?	Kraft testified that he asked to speak with Hernandez in an office near a weight room in the stadium,	68.42	['habla', 'una', 'con', 'cerca', 'sala', 'hernández', 'preguntó', 'testificó', 'oficina', 'que', 'de', 'pesas', 'en']	2

1995	how could you tell?	The hair on the back of su neck stood up	how could you tell?	The hair on the back of his neck stood up	10.0	['su']	0

1996	Que requested that ella cambia?	Un aire hostess.	Who requested that she switch?	An air hostess.	66.67	['un', 'aire']	1

1997	Que era Kaci Hickox?	una enfermera colocado bajo cuarentena obligatoria	Who was Kaci Hickox?	a nurse placed under mandatory quarantine	100.0	['obligatoria', 'bajo', 'colocado', 'enfermera', 'una', 'cuarentena']	2

1998	Is there any other way to avoid sleep texting?	keep electronics out of the bedroom	Is there any other way to avoid sleep texting?	keep electronics out of the bedroom	0.0	[]	0

1999	After review the evidencia, que hizo he do?	"issued his órdenes para bar mubarak y su family from travelling y to impound their assets."""	After review the evidence, what did he do?	"issued his orders to bar Mubarak and his family from travelling and to impound their assets."""	43.75	['para', 'su', 'bar', 'mubarak', 'y', 'órdenes']	1

2000	Ellos lo trató as ¿qué?	como a agravio	They treated it as what?	as a tort	100.0	['como', 'a', 'agravio']	2

2001	Lady Middleton and Mrs. Dashwood. Why were they mutually attracted to each other	porque there era a cold hearted selfishness en both sides	Lady Middleton and Mrs. Dashwood.  Why were they mutually attracted to each other	because there was a cold hearted selfishness on both sides	30.0	['era', 'en', 'porque']	0

2002	What began ese año?	Departamento de Education	What began that year?	Department of Education	66.67	['departamento', 'de']	1

2003	Qué does ¿Se parece el jabón del teléfono?	pequeño metal maleta	What does Phone Soap look like?	little metal suitcase	100.0	['maleta', 'metal', 'pequeño']	2

2004	What other apps does she think usuarios look at while they're ¿conduciendo?	Google Mapas and Facebook	What other apps does she think users look at while they're driving?	Google Maps and Facebook	25.0	['mapas']	0

2005	What was el hermano title?	Príncipe de Gales, in 1612	What was the brother's title?	Prince of Wales, in 1612	60.0	['príncipe', 'de', 'gales']	1

2006	What era Misión de Rose en el school?	"""I always soñó con tener una educación universitaria y now I'm ¡Conseguir uno! """	What was Rose's mission in the school?	"""I always dreamed of having a university education and now I'm getting one!"""	69.23	['tener', 'universitaria', 'uno', 'con', 'educación', 'conseguir', 'soñó', 'y', 'una']	2

2007	What is a carnival feast?	an opportunity to eat well	What is a carnival feast?	an opportunity to eat well	0.0	[]	0

2008	Qué era pasando a su buddies todo around him?	Death era arrasamiento them.	What was happening to his buddies all around him?	Death was levelling them.	50.0	['era', 'arrasamiento']	1

2009	Tenía él planificado ¿algo?	para asesinar al embajador de Arabia Saudita a el United Estados.	Had he planned something?	to assassinate Saudi Arabia's ambassador to the United States.	88.89	['para', 'arabia', 'al', 'estados', 'a', 'embajador', 'asesinar', 'de', 'saudita', 'el']	2

2010	"What is the English definition de ""vorare""?"	"""vorare,"" to comer or devour"	"What is the English definition of ""vorare""?"	"""vorare,"" to eat or devour"	20.0	['comer']	0

2011	Qué were ellos protesting?	a golpe de estado de Egipto military rulers	What were they protesting?	a coup by Egypt's military rulers	50.0	['golpe', 'estado', 'egipto', 'de']	1

2012	where son el mayor rocas?	en el norte West Scotland, Irlanda, y norte Wales	where are the oldest rocks?	in north west Scotland, Ireland, and North Wales	87.5	['irlanda', 'scotland', 'norte', 'el', 'y', 'en', 'west']	2

2013	Where do they play home Juegos?	Santiago Bernabéu Estadio	Where do they play home games?	Santiago Bernabéu Stadium	33.33	['estadio']	0

2014	What was the ¿Llamada la escuela de negocios?	Wharton School de Business	What was the business school called?	Wharton School of Business	50.0	['wharton', 'de']	1

2015	Que título was El dio ¿después?	Contar de Oeiras	what title was he given after?	Count of Oeiras	100.0	['contar', 'de', 'oeiras']	2

2016	Alnwick is what ?	The county town	Alnwick is what ?	The county town	0.0	[]	0

2017	How long tener ¿Ha habido primates?	desde alrededor 63–74 mya	How long have there been primates?	since around 63–74 mya	50.0	['alrededor', 'desde']	1

2018	Que se metió en problemas para ¿mintiendo?	La Fórmula Uno de Renault team	Who got in trouble for lying?	The Renault Formula One team	80.0	['fórmula', 'renault', 'la', 'uno', 'de']	2

2019	Arranged by ¿a quien?	Terror Groupsy say were planificación numerous suicide ataques	Arranged by whom?	Terror Groupsy say were planning numerous suicide attacks	25.0	['planificación', 'ataques']	0

2020	How lejos were Ellos van to go?	to el pueblo	How far were they going to go?	to the village	66.67	['pueblo', 'el']	1
